LEM - Levantamento estatístico Mensal/2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
DESDOBRAMENTOS TÉCNICOS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,,,desdobramentos técnicos,,,,,
Atendimentos indvidual,39,79,54,39,58,87,62,69,70,68,63,62,750.0,,2431,,,,,
Atedimento familiar,36,37,33,26,29,25,31,27,34,39,44,31,392.0,,,,,,,
Interface com rede socioassistencial ,18,20,23,9,19,13,13,9,12,16,15,13,180.0,,,,,,,
Interface com judiciário,2,5,7,6,5,4,7,4,11,7,9,7,74.0,,,,,,,
Interface com saúde,9,16,12,7,18,2,14,9,14,12,5,14,132.0,,,,,, ,
Interface com educação,14,38,26,9,10,27,16,28,29,32,31,16,276.0,,,,,,,
PIAS / Relatórios,7,23,14,7,7,8,18,14,19,18,11,18,164.0,,,,,,,
Visitas Domiciliares,1,1,1,0,2,2,2,0,4,3,5,2,23.0,,,,,,,
Apadrinhamento afetivo,2,3,4,3,2,1,2,1,2,2,0,2,24.0,,,,,,,
Colocação em família substituta,1,1,1,0,2,2,2,0,4,3,5,2,23.0,,,,,,,
"Reunião de equipe (técnica, casa, coordenação, gerente)",,12,8,7,9,7,3,9,11,12,11,3,92.0,,,,,,,
Desligamentos,0,1,4,0,1,0,0,1,2,1,0,0,10.0,,,,,,,
Evasão,2,4,4,5,4,2,2,2,2,2,1,2,32.0,,,,,,,
Novos ingressos,0,2,1,0,1,6,0,3,0,6,0,0,19.0,,,,,,,
Transferências,1,,1,1,1,0,0,2,0,1,0,0,7.0,,,,,,,  
Efetivos na casa,18,19,18,14,11,17,13,18,14,19,18,13,192.0,,,,,,,
Documentação civil (RG / CPF/ CTPS / Certidão de nascimento),1,3,1,1,0,3,5,2,4,12,4,5,41.0,,,,,,,
PROFISSIONALIZAÇÃO,,,,,,,,,,,,,2431.0,,profissionalização ,,,,,
INSERIDOS em curso profissionalizante,14,38,26,9,10,27,16,28,29,32,31,16,276.0,,837,,,,,
ENCAMINHADOS para curso profissionalizante,9,16,12,7,18,2,14,9,14,12,5,14,132.0,,,,,,,
INSERIDO no mercado de trabalho,18,19,18,14,11,17,13,18,14,19,18,13,192.0,,,,,,,
ENCAMINHADO para mercado de trabalho,20,20,21,20,19,20,22,23,20,22,8,22,237.0,,,,,,,
SAÚDE,,,,,,,,,,,,,837.0,,Encaminhamentos saúde,,,,,
Saude mental ,20,23,15,18,16,14,18,20,21,24,7,18,214.0,,455,,,,,
Saúde Clínica,20,20,21,20,19,20,22,23,20,22,8,22,237.0,,,,,,,
Internações,0,0,0,0,0,0,0,0,2,1,1,0,4.0,,,,,,,
                          EDUCAÇÃO,,,,,,,,,,,,,455.0,,Encaminhamento educação,,,,,
Ensino infantil ,,,,,,,,,,,,,,,0,,,,,
            matriculados,,,,,,,,,,1,,,1.0,,,,,,,
            aguardando vaga,,,,,,,,,,,,,0.0,,,,,,,
Ensino regular ,,,,,,,,,,,,,0.0,,,,,,,
            matriculados,,5,1,1,3,,,1,1,,,,12.0,,,,,,,
            aguardando vaga,,,,,,,,,,,,,0.0,,,,,,,
Ensino EJA ,,,,,,,,,,,,,0.0,,,,,,,
            matriculados,,,,,,2,,2,,,,,4.0,,,,,,,
            aguardando vaga,,,,,,,,,,,,,0.0,,,,,,,
SCFV ,,,,,,,,,,,,,0.0,,,,,,,
            matriculados,,,,1,,,,1,,1,4,,7.0,,,,,,,
            aguardando vaga,,,,1,,,,,,5,0,,6.0,,,,,,,
"Outros: Reforço escolar, psicopedagoga, trabalho educativo",,,,,,,,1,,,6,,7.0,,,,,,,
