Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
                   Dados de informações gerencias de efetividade PÃO DOS POBRES 2025,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
dados gerencias de efetividade,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,,,
ADOLESCENTES INSERIDOS em cursos profissionalizantes,1,6,6,6,5,5,4,4,4,2,2,,,,654.0
ADOLESCENTES INSERIDOS no mercado de trabalho,0,0,0,0,0,0,0,0,0,0,0,,,,
APADRINHAMENTOS AFETIVOS EFETIVADOS ,3,3,3,3,3,3,2,2,2,1,1,,,,
atividades lúdicas/recreativas/culturais,4,3,3,3,4,6,6,2,5,7,2,,,,
capacitações coordenações,0,0,1,0,0,0,1,0,0,0,0,,,,
capacitações equipes,0,0,0,0,1,1,2,0,0,0,1,,,,
Crianças e adolescentes em Ensino regular matriculados,12,16,19,19,18,18,15,17,15,17,18,,,,
Crianças e adolescentes/Desligamentos,1,0,0,1,0,3,3,1,4,2,0,,,,
Crianças e adolescentes/Evasões,0,0,2,0,2,0,1,0,1,4,3,,,,
PIAS / Relatórios,2,15,3,2,2,5,16,3,10,16,1,,,,
Reuniões de equipe ,1,1,4,5,4,4,3,4,5,4,3,,,,
Visitas Domiciliares,2,1,3,1,0,1,0,1,1,2,2,,,,
Número de Crianças e adolescentes atendidos,17,16,19,19,18,18,16,18,16,17,18,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
OBS.,,,,,,,,,,,,,,,
"1. no item atividades lúdicas/recreativas/culturais. Fazer uma breve resenha da atividade, número de participantes e registro de fotos.",,,,,,,,,,,,,,,
"2. no item capacitações coordenações. Fazer uma breve relato do tema, destacando local e carga horária. ",,,,,,,,,,,,,,,
"3.no item capacitações equipes. Fazer uma breve relato do tema, destacando local e carga horaria e número de particpantes.",,,,,,,,,,,,,,,
4. Definição das formas de mensuração: indicar o instrumento de levantamento  de dados ,,,,,,,,,,,,,,,
"5. Participação em espaços de controle social (conselhos { CMDCA, CMAS, CORAS}, Fóruns permanentes, Fóruns extraordinários, representações)",,,,,,,,,,,,,,,
